County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
Bulloch County, Georgia,81099,77243,185,13,31,48786,1980,95.25,0.23
Calhoun County, Georgia,5573,5493,11,13,37,41962,3852,98.56,0.2
Candler County, Georgia,10981,10372,35,13,43,36955,7815,94.45,0.32
Charlton County, Georgia,12518,12070,35,13,49,42743,4248,96.42,0.28
Chattooga County, Georgia,24965,23761,54,13,55,37351,3864,95.18,0.22
Clay County, Georgia,2848,2763,6,13,61,32434,11329,97.02,0.21
Clinch County, Georgia,6749,6483,25,13,65,38844,11103,96.06,0.37
Colquitt County, Georgia,45898,42927,76,13,71,36799,2047,93.53,0.17
Coweta County, Georgia,146158,136227,493,13,77,79795,2303,93.21,0.34
Dade County, Georgia,16251,15385,16,13,83,40384,3739,94.67,0.1
Decatur County, Georgia,29367,28308,59,13,87,40567,3779,96.39,0.2
Dooly County, Georgia,11208,10898,14,13,93,48039,7387,97.23,0.12
Early County, Georgia,10854,10572,22,13,99,34811,4611,97.4,0.2
Effingham County, Georgia,64769,60278,252,13,103,67050,4556,93.07,0.39
Evans County, Georgia,10774,10168,36,13,109,46392,2425,94.38,0.33
Floyd County, Georgia,98584,91373,220,13,115,50657,3025,92.69,0.22
Franklin County, Georgia,23424,22312,48,13,119,47821,5730,95.25,0.2
Glascock County, Georgia,2884,2801,17,13,125,46500,13391,97.12,0.59
Grady County, Georgia,26236,24887,37,13,131,48047,4373,94.86,0.14
Habersham County, Georgia,46031,42313,118,13,137,54147,3259,91.92,0.26
Hancock County, Georgia,8735,8535,20,13,141,32914,2647,97.71,0.23
Lowndes County, Georgia,118251,111390,418,13,185,46113,2959,94.2,0.35
McDuffie County, Georgia,21632,20759,79,13,189,47327,3290,95.96,0.37
Madison County, Georgia,30120,28381,60,13,195,51142,4622,94.23,0.2
Miller County, Georgia,6000,5836,15,13,201,49771,6130,97.27,0.25
